extraction_id,label,human_label,fact_type,reason,person,subject,role,party,organization,object,relation,justification
00SdsigBGemdK0JTQINZ,insufficient,insufficient,employment,subj 'Błażej Spychalski' not named in span ('został powołany') (§2),Błażej Spychalski,,sekretarz stanu i rzecznik prasowy,,Kancelaria Prezydenta Rzeczypospolitej Polskiej,,,W 2018 roku został powołany na stanowisko sekretarza stanu w Kancelarii Prezydenta oraz na rzecznika prasowego prezydenta.
0DktbqggLFYxjpLTASSD,insufficient,correct,employment,subj 'Tomasz S.' not named in span (§2),Tomasz S.,,prezes,,spółka warszawska,,,prezesa jednej z warszawskich spółek
0M0ud446UGZwh2GfsN5P,insufficient,incorrect,employment,subj 'Konrad R.' not named in span (§2),Konrad R.,,wiceprezes,,Miedzi Copper Corporation,,,„wiceprezesa kanadyjskiej spółki Miedzi Copper Corporation...”
0NQgE2G26qttdumivIIj,correct,correct,employment,name+role+org in span,Marek G.,,szef Rady Nadzorczej,,Grupa Azoty,,,szef Rady Nadzorczej Grupy Azoty Marek G.
0Q0eFeDEB8RwZ8JYk5sp,correct,incorrect,employment,"name+role in span, org entailed by role (agreed)",Zbigniew Ziobro,,minister sprawiedliwości,,Ministerstwo Sprawiedliwości,,,Zbigniew Ziobro [...] był ministrem sprawiedliwości
21xyX2hXehZwAjx8tu5O,incorrect,incorrect,personal_relation,"object 'ojciec Michała O.' is a description, not a name (§4)",,Michał O.,,,,ojciec Michała O.,ojciec,ks. Michał O. i jego ojca
27hRbkNTE10gJtzrlG5e,correct,correct,employment,name+role+org in span,Roman Giertych,,przewodniczący,,zespoł do spraw rozliczeń PiS,,,Roman Giertych [...] przewodniczył parlamentarnemu zespołowi do spraw rozliczeń PiS
2HBZC8QCf1adENupY6CH,insufficient,correct,employment,subj 'Emilia H.' not named in span ('żona Czarneckiego') (§2),Emilia H.,,zatrudniona,,Collegium Humanum,,,żona Czarneckiego dostała w Collegium Humanum tytuł doktora i jest zatrudniona na tej uczelni
2WvIvrQws1VpdysGCv7a,correct,correct,employment,name+role+org in span,Adam C.,,wiceburmistrz,,Praga Południe,,,Adam C. - wiceburmistrz Pragi Południe
2e255IAYqG74bN7ZfsU0,insufficient,insufficient,personal_relation,subj 'Przemysław Litwiniuk' not named in span (§2),,Przemysław Litwiniuk,,,,Jarosław G.,bliski znajomy,bliski znajomy Jarosława G.
